country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,distribution_method,marketing_auth_holder,shortage_start,estimated_end,status,reason,therapeutic_alternatives,scraped_at
GR,Greece,EOF,BELIFAX GR.CAP 20MG/CAP BT X 30 (ΣΕ ΠΛΑΣΤΙΚΌ ΦΙΑΛΊΔΙΟ),OMEPRAZOLE,,,2802065001064,A02BC01,ΦΑΡΜΑΚΕΙΟΥ,INNOVIS PHARMA A.E.B.E.,2025-08-04,2026-06-30,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,DICETEL F.C.TAB 50MG/TAB BTx50 (BLIST 2x25),"PINAVERIUM, BROMIDE",,,2801970801011,A03AX04,ΦΑΡΜΑΚΕΙΟΥ,"VIATRIS HEALTHCARE LIMITED, IRELAND",2026-02-12,2026-03-16,shortage,Καθυστέρηση παράδοσης,Εναλλακτικά μέσω έκτακτης εισαγωγής,2026-03-12T16:42:03.347998
GR,Greece,EOF,GLICRON CON.R.TAB 60MG/TAB BTX30 (PVC/PVDC/AL BLISTERS),GLICLAZIDE,,,2803077702048,A10BB09,ΦΑΡΜΑΚΕΙΟΥ,"WIN MEDICA A.E., ΕΛΛΑΔΑ",2025-12-15,2026-03-15,shortage,Προβλήματα στην παραγωγική διαδικασία,"Εναλλακτικά άλλο σκεύασμα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,DIALOSA TABLET 3MG/TAB BTX 30 ΣΕ BLISTER PVC/ALUMINIUM,GLIMEPIRIDE,,,2802694103030,A10BB12,ΦΑΡΜΑΚΕΙΟΥ,PHARMAPATH ABEE,2026-02-10,2026-03-20,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,SILTABEN PLUS F.C.TAB (50+1000)MG/TAB BT X 56 TABS ΣΕ BLISTER (PVC/PVDC/ALU),"SITAGLIPTIN,, METFORMIN",,,2803358902013,A10BD07,ΦΑΡΜΑΚΕΙΟΥ,BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.,2026-01-15,2026-04-30,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα των ίδιων δραστικών, της ίδιας μορφής και ίδιων περιεκτικοτήτων",2026-03-12T16:42:03.347998
GR,Greece,EOF,SILTABEN PLUS F.C.TAB (50+850)MG/TAB BT X 56 TABS ΣΕ BLISTER (PVC/PVDC/ALU),"SITAGLIPTIN,, METFORMIN",,,2803358901016,A10BD07,ΦΑΡΜΑΚΕΙΟΥ,BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.,2026-01-22,2026-04-30,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα των ίδιων δραστικών, της ίδιας μορφής και ίδιων περιεκτικοτήτων",2026-03-12T16:42:03.347998
GR,Greece,EOF,SITAGLIPTIN+METFORMIN/PHARMAZAC F.C.TAB (50+1000)MG/TAB BT X 56 TABS ΣΕ PVC/PE/PVDC//ALU BLISTERS,"SITAGLIPTIN,, METFORMIN",,,2803256102034,A10BD07,ΦΑΡΜΑΚΕΙΟΥ,PHARMAZAC AE,2025-08-26,2026-03-30,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα των ίδιων δραστικών, της ίδιας μορφής και ίδιων περιεκτικοτήτων",2026-03-12T16:42:03.347998
GR,Greece,EOF,SITAGLIPTIN+METFORMIN/PHARMAZAC F.C.TAB (50+850)MG/TAB BT X 56 TABS ΣΕ PVC/PE/PVDC//ALU BLISTERS,"SITAGLIPTIN,, METFORMIN",,,2803256101037,A10BD07,ΦΑΡΜΑΚΕΙΟΥ,PHARMAZAC AE,2024-11-13,2026-03-30,shortage,Προβλήματα στην παραγωγική διαδικασία,"Εναλλακτικά άλλα σκευάσματα των ίδιων δραστικών, της ίδιας μορφής και ίδιων περιεκτικοτήτων",2026-03-12T16:42:03.347998
GR,Greece,EOF,VILDABEN PLUS® F.C.TAB (50+1000)MG/TAB BT x 60 tabs σε blister (AL/OPA-AL-PVC),"METFORMIN,, VILDAGLIPTIN",,,2803306502012,A10BD08,ΦΑΡΜΑΚΕΙΟΥ,BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.,2026-03-10,2026-04-30,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα των ίδιων δραστικών, της ίδιας μορφής και ίδιων περιεκτικοτήτων",2026-03-12T16:42:03.347998
GR,Greece,EOF,VEDFA® F.C.TAB (50+1000)MG/TAB BT X 60 TABS (ΣΕ BLISTER PVC/PCTFE TRASPARENT-ALU),"METFORMIN,, VILDAGLIPTIN",,,2803226102026,A10BD08,ΦΑΡΜΑΚΕΙΟΥ,ΦΑΡΜΑΤΕΝ ΑΒΕΕ,2025-12-16,2026-09-30,shortage,Αυξημένη ζήτηση,"Εναλλακτικά άλλα σκευάσματα των ίδιων δραστικών, της ίδιας μορφής και ίδιων περιεκτικοτήτων",2026-03-12T16:42:03.347998
GR,Greece,EOF,VEDFA® F.C.TAB (50+850)MG/TAB BT X 60 TABS (ΣΕ BLISTER PVC/PCTFE TRASPARENT-ALU),"METFORMIN,, VILDAGLIPTIN",,,2803226101029,A10BD08,ΦΑΡΜΑΚΕΙΟΥ,ΦΑΡΜΑΤΕΝ ΑΒΕΕ,2025-06-30,2026-09-30,shortage,Αυξημένη ζήτηση,"Εναλλακτικά άλλα σκευάσματα των ίδιων δραστικών, της ίδιας μορφής και ίδιων περιεκτικοτήτων",2026-03-12T16:42:03.347998
GR,Greece,EOF,CUFENCE CAPS 200MG/CAP ΦΙΆΛΗ (ΓΥΆΛΙΝΗ)X 100 ΚΑΨΆΚΙΑ,"TRIENTINE, DIHYDROCHLORI, DE",,,2803236301013,A16AX12,ΦΑΡΜΑΚΕΙΟΥ,"UNIVAR SOLUTIONS BV, THE NETHERLANDS",2026-03-02,2026-06-30,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλο σκεύασμα της ίδιας δραστικής και μορφής, διαφορετικής περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,CLODELIB F.C.TAB 75MG/TAB BTX30 (BLISTERS PVC/PE/PVDC/ ALUMINIUM FOIL 3X10),CLOPIDOGREL,,,2802914401038,B01AC04,ΦΑΡΜΑΚΕΙΟΥ,LIBYTEC A.E.,2025-10-02,2026-04-01,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,CLOPADEL F.C.TAB 75MG/TAB BTX28 (ALU/ALU FOIL BLISTER 4X7),"CLOPIDOGREL, HYDROGEN, SULPHATE",,,2803047501015,B01AC04,ΦΑΡΜΑΚΕΙΟΥ,ADELCO A.E. ΧΡΩΜ. ΑΘΗΝ. ΑΦΟΙ Ε. ΚΟΛΟΚΟΤΡΩΝΗ,2026-01-30,2026-03-31,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,PLAVIX F.C.TAB 300MG/TAB BTx10x1 σε BLIST ALU/ALU διάτρητα,CLOPIDOGREL,,,2802363502041,B01AC04,ΦΑΡΜΑΚΕΙΟΥ,"SANOFI WINTHROP INDUSTRIE, FRANCE",2026-02-19,2026-03-31,shortage,Καθυστέρηση παράδοσης,,2026-03-12T16:42:03.347998
GR,Greece,EOF,THROIMPER F.C.TAB 75MG/TAB BT X 30 X75MG (BLISTERS PVC/PE/PVDC 3X10),CLOPIDOGREL,,,2802885501058,B01AC04,ΦΑΡΜΑΚΕΙΟΥ,MEDIAPHARM ΕΠΕ,2025-05-15,2026-09-30,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,ZAKOGREL F.C.TAB 75MG/TAB BTX30,CLOPIDOGREL,,,2803046901038,B01AC04,ΦΑΡΜΑΚΕΙΟΥ,PHARMAZAC AE,2025-10-07,2026-06-08,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,PERSANTIN C.TAB 75MG/TAB BTX30 (BLIST 2X15) (PVC/PVDC),DIPYRIDAMOLE,,,2800436902026,B01AC07,ΦΑΡΜΑΚΕΙΟΥ,"GLENWOOD GESELLSCHAFT MIT BESCHRANKTER HAFTUNG PHARMAZEUTISCHE ERZEUGNISSE, GERMANY",2026-05-12,2026-12-31,shortage,Καθυστέρηση παράδοσης,Εναλλακτικά το ίδιο φάρμακο μέσω έκτακτης εισαγωγής,2026-03-12T16:42:03.347998
GR,Greece,EOF,RIVAROXABAN VIATRIS F.C.TAB 2.5MG/TAB BT X 56 Χ 1 ΔΙΣΚΙΑ - ΜΟΝΑΔΑ ΔΟΣΗΣ ΣΕ BLISTERS PVC/PVDC/ΑΛΟΥΜΙΝΙΟ,RIVAROXABAN,,,2803348301093,B01AF01,ΦΑΡΜΑΚΕΙΟΥ,"VIATRIS LIMITED, IRELAND",2025-12-30,2026-06-15,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,RIVAROXABAN VIATRIS F.C.TAB 10MG/TAB BT X 10 X 1 ΔΙΣΚΙΑ - ΜΟΝΑΔΑ ΔΟΣΗΣ ΣΕ BLISTERS PVC/PVDC/ΑΛΟΥΜΙΝΙΟ,RIVAROXABAN,,,2803348302045,B01AF01,ΦΑΡΜΑΚΕΙΟΥ,"VIATRIS LIMITED, IRELAND",2026-02-01,2026-06-15,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,RIVAROXABAN VIATRIS F.C.TAB 20MG/TAB BT X 28 Χ 1 ΔΙΣΚΙΑ - ΜΟΝΑΔΑ ΔΟΣΗΣ ΣΕ BLISTERS PVC/PVDC/ΑΛΟΥΜΙΝΙΟ,RIVAROXABAN,,,2803348304070,B01AF01,ΦΑΡΜΑΚΕΙΟΥ,"VIATRIS LIMITED, IRELAND",2026-01-30,2026-05-15,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,ZAOFER EF.TAB 695MG (80.5 MGFE++)/TAB BTX1 (TUBX10),"FERROUS, GLUCONATE",,,2802988602010,B03AA03,ΦΑΡΜΑΚΕΙΟΥ,PHARMAZAC AE,2025-06-26,2026-09-07,shortage,Ποιοτικό πρόβλημα - Δραστική ουσία,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής ουσίας, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,ZAOFER EF.TAB 695MG (80.5 MGFE++)/TAB BTX3 (TUBX10),"FERROUS, GLUCONATE",,,2802988602034,B03AA03,ΦΑΡΜΑΚΕΙΟΥ,PHARMAZAC AE,2025-02-12,2026-09-07,shortage,Καθυστέρηση παράδοσης,Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής και περιεκτικότητας,2026-03-12T16:42:03.347998
GR,Greece,EOF,"ZAOFER PD.ORA.SOL 300MG (37,5MG FE++)/SACHET BTX20 SACHETS","FERROUS, GLUCONATE",,,2802988601020,B03AA03,ΦΑΡΜΑΚΕΙΟΥ,PHARMAZAC AE,2025-02-12,2026-09-07,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,"TARDYFERON PR.TAB 247,25(80)MG/TAB ΒΤX30 (PVC/PVDC ALU)","FERROUS, SULPHATE DRIED",,,2801218401010,B03AA07,ΦΑΡΜΑΚΕΙΟΥ,PIERRE FABRE FARMAKA AE,2026-01-01,2026-03-31,shortage,Προβλήματα στην παραγωγική διαδικασία,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,"RETACRIT INJ.SOL 40000IU/1ML PF.SYR BTx4 PF.SYR x 1,0ML",EPOETIN ZETA,,,2802815111029,B03XA01,ΝΟΣΟΚΟΜΕΙΑΚΟ,"PFIZER EUROPE MA EEIG, BELGIUM",2026-03-09,2026-03-30,shortage,Αυξημένη ζήτηση,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,ALBUMINE LFB SOL.INF 20% BTx1 VIALx50 ML,ALBUMIN HUMAN,,,2802587601018,B05AA01,ΝΟΣΟΚΟΜΕΙΑΚΟ,ΒΙΑΝΕΞ Α.Ε.,2026-02-26,2026-03-20,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,ALBUREX 20 SOL.INF 20% BTx1 VIALx50 ML,ALBUMIN HUMAN,,,2802577402014,B05AA01,ΝΟΣΟΚΟΜΕΙΑΚΟ,CSL BEHRING Ε.Π.Ε.,2026-03-23,2026-04-30,shortage,Αυξημένη ζήτηση,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,HUMAN ALBUMIN/BAXALTA SOL.INF 200G/L BTX1 VIAL X 100 ML,ALBUMIN HUMAN,,,2803139002031,B05AA01,ΝΟΣΟΚΟΜΕΙΑΚΟ,"BAXALTA INNOVATIONS GMBH, AUSTRIA",2026-03-01,2026-03-31,shortage,Αυξημένη ζήτηση,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,HUMAN ALBUMIN/BAXALTA SOL.INF 200G/L BTX1 VIAL X 50 ML,ALBUMIN HUMAN,,,2803139002017,B05AA01,ΝΟΣΟΚΟΜΕΙΑΚΟ,"BAXALTA INNOVATIONS GMBH, AUSTRIA",2026-03-01,2026-03-31,shortage,Αυξημένη ζήτηση,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,HUMAN ALBUMIN/BAXALTA SOL.INF 50G/L BTX1 VIAL X 500 ML,ALBUMIN HUMAN,,,2803139001034,B05AA01,ΝΟΣΟΚΟΜΕΙΑΚΟ,"BAXALTA INNOVATIONS GMBH, AUSTRIA",2026-03-01,2026-03-31,shortage,Αυξημένη ζήτηση,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,ALBUMINE LFB SOL.INF 20% BTx1 VIALx100 ML,ALBUMIN HUMAN,,,2802587601025,B05AA01,ΝΟΣΟΚΟΜΕΙΑΚΟ,ΒΙΑΝΕΞ Α.Ε.,2026-02-25,2026-03-19,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,"GELOFUSINE SOL.IV.INF 4%+0,701%+0,136% BTX10ECOFLAC ΤΩΝ 500ML",GELATIN AGENTS,,,2802334901033,B05AA06,ΝΟΣΟΚΟΜΕΙΑΚΟ,ΒΙΟΣΕΡ Α.Ε.,2026-05-11,2026-10-31,shortage,Προβλήματα στην παραγωγική διαδικασία,,2026-03-12T16:42:03.347998
GR,Greece,EOF,"BICAVERA 2,30% ΓΛΥΚΟΖΗ, 1,75MMOL/L ΑΣΒΕΣΤΙΟ SOL.PER.DI 2,30%ΣΕ ΓΛΥΚΟΖΗ BTX4 BAGSX2000 ML","SODIUM, BICARBONATE",,,2802539203024,B05DB,ΝΟΣΟΚΟΜΕΙΑΚΟ,"FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH, GERMANY",2025-12-23,2026-03-31,shortage,Ποιοτικό πρόβλημα - Συσκευασία,Εναλλακτικά άλλο σκεύασμα της ίδιας κατηγορίας B05DB με τις ίδιες ενδείξεις,2026-03-12T16:42:03.347998
GR,Greece,EOF,"BICAVERA 4,25% ΓΛΥΚΟΖΗ, 1,75MMOL/L ΑΣΒΕΣΤΙΟ SOL.PER.DI 4,25% ΣΕ ΓΛΥΚΟΖΗ BTX4 BAGSX2000 ML","SODIUM, BICARBONATE",,,2802539202027,B05DB,ΝΟΣΟΚΟΜΕΙΑΚΟ,"FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH, GERMANY",2026-02-01,2026-05-31,shortage,Ποιοτικό πρόβλημα - Συσκευασία,Εναλλακτικά άλλο σκεύασμα της ίδιας κατηγορίας B05DB με τις ίδιες ενδείξεις,2026-03-12T16:42:03.347998
GR,Greece,EOF,"BICAVERA 1,5% ΓΛΥΚΟΖΗ, 1,75MMOL/L ΑΣΒΕΣΤΙΟ SOL.PER.DI 1,5% ΣΕ ΓΛΥΚΟΖΗ BTX4 BAGSX2000 ML","SODIUM, BICARBONATE",,,2802539201020,B05DB,ΝΟΣΟΚΟΜΕΙΑΚΟ,"FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH, GERMANY",2026-01-01,2026-03-31,shortage,Ποιοτικό πρόβλημα - Συσκευασία,Εναλλακτικά άλλο σκεύασμα της ίδιας κατηγορίας B05DB με τις ίδιες ενδείξεις,2026-03-12T16:42:03.347998
GR,Greece,EOF,BICAVERA 1.25MMOL/L CALCIUM SOL.PER.DI 1.5% ΣΕ ΓΛΥΚΌΖΗ BTX4 BAGS X 2000ML (STAY SAFE),"SODIUM, BICARBONATE",,,2803113001012,B05DB,ΝΟΣΟΚΟΜΕΙΑΚΟ,"FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH, GERMANY",2025-12-31,2026-03-31,shortage,Ποιοτικό πρόβλημα - Συσκευασία,Εναλλακτικά άλλο σκεύασμα της ίδιας κατηγορίας B05DB με τις ίδιες ενδείξεις,2026-03-12T16:42:03.347998
GR,Greece,EOF,BICAVERA 1.25MMOL/L CALCIUM SOL.PER.DI 2.3% ΣΕ ΓΛΥΚΌΖΗ BTX4 BAGS X 2000ML (STAY SAFE),"SODIUM, BICARBONATE",,,2803113003016,B05DB,ΝΟΣΟΚΟΜΕΙΑΚΟ,"FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH, GERMANY",2026-06-01,2026-09-30,shortage,Ποιοτικό πρόβλημα - Συσκευασία,Εναλλακτικά άλλο σκεύασμα της ίδιας κατηγορίας B05DB με τις ίδιες ενδείξεις,2026-03-12T16:42:03.347998
GR,Greece,EOF,SOLUVIT PD.SOL.INF  BTX10 VIALS X 10 ML & 10 ΠΛΑΣΤΙΚΈΣ ΘΗΚΕΣ ΓΙΑ ΤΗΝ ΠΡΟΣΤΑΣΊΑ ΤΟΥ ΑΝΑΣΥΣΤΑΘΈΝΤΟΣ ΔΙΑΛΎΜΑΤΟΣ ΑΠΌ ΤΟ ΦΩΣ,"RIBOFLAVINE-5-, PHOSPHATE,, SODIUM SALT",,,2800227901016,B05XC,ΦΑΡΜΑΚΕΙΟΥ,"FRESENIUS KABI HELLAS ΜΟΝΟΠΡΌΣΩΠΗ Α.Ε., ΕΛΛΑΔΑ",2026-01-19,2026-12-31,shortage,Προβλήματα στην παραγωγική διαδικασία,Εναλλακτικά όμοιο προϊόν μέσω έκτακτης εισαγωγής,2026-03-12T16:42:03.347998
GR,Greece,EOF,OXBRYTA F.C.TAB 500 MG/TAB BT X 1 ΦΙΑΛΗ (HDPE) X 90 ΔΙΣΚΙΑ,VOXELOTOR,,,2803343201015,B06AX03,ΦΑΡΜΑΚΕΙΟΥ,"PFIZER EUROPE MA EEIG, BELGIUM",2024-09-24,2026-04-30,shortage,Πρόβλημα ασφάλειας χρήσης φαρμάκου,Εναλλακτική αγωγή σύμφωνα με τις οδηγίες του θεράποντος ιατρού,2026-03-12T16:42:03.347998
GR,Greece,EOF,"ANAPEN INJ.SOL 150MCG/0,3ML PF.SYR BTX2PF.SYR.X0,3ML",EPINEPHRINE,,,2802660901028,C01CA24,ΦΑΡΜΑΚΕΙΟΥ,ALLERTEC HELLAS A.E.,2023-11-01,2026-04-30,shortage,Καθυστέρηση παράδοσης,Εναλλακτικά όμοιο προϊόν μέσω έκτακτης εισαγωγής,2026-03-12T16:42:03.347998
GR,Greece,EOF,"ANAPEN INJ.SOL 300MCG/0,3ML PF.SYR. BTX2PF.SYR.X0,3ML",EPINEPHRINE,,,2802660902025,C01CA24,ΦΑΡΜΑΚΕΙΟΥ,ALLERTEC HELLAS A.E.,2024-01-01,2026-04-30,shortage,Προβλήματα στην παραγωγική διαδικασία,Εναλλακτικά όμοιο προϊόν μέσω έκτακτης εισαγωγής,2026-03-12T16:42:03.347998
GR,Greece,EOF,LEVOSIMENDAN/WIN MEDICA C/S.SOL.IN 2.5MG/ML BT X 1 VIAL X 5ML,LEVOSIMENDAN,,,2803289801010,C01CX08,ΝΟΣΟΚΟΜΕΙΑΚΟ,"WIN MEDICA A.E., ΕΛΛΑΔΑ",2026-02-09,2026-03-31,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλο σκεύασμα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,APREDONAV F.C.TAB 5MG/TAB BTx56 TABS (σε BLISTER PA/AL/PVC/Aluminium),"IVABRADINE, HYDROCHLORID, E",,,2803181201031,C01EB17,ΦΑΡΜΑΚΕΙΟΥ,MEDOCHEMIE HELLAS A.E.,2026-01-28,2026-04-10,shortage,Καθυστέρηση παράδοσης,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,"CATAPRESAN TABLET 0,150MG/TAB BTX30 (BLIST 3X10) ΣΕ BLISTERS WHITE OPAQUE PVC/PVDC- ALU","CLONIDINE, HYDROCHLORID, E",,,2800219102032,C02AC01,ΦΑΡΜΑΚΕΙΟΥ,"GLENWOOD GESELLSCHAFT MIT BESCHRANKTER HAFTUNG PHARMAZEUTISCHE ERZEUGNISSE, GERMANY",2026-04-27,2026-12-31,shortage,Καθυστέρηση παράδοσης,,2026-03-12T16:42:03.347998
GR,Greece,EOF,VOLIBRIS F.C.TAB 10MG/TAB BT X 30 ΣΕ BLIST (PVC/PVDC/ALU),AMBRISENTAN,,,2802836302024,C02KX02,ΦΑΡΜΑΚΕΙΟΥ,"GLAXOSMITHKLINE (IRELAND) LIMITED, IRELAND",2026-01-30,2026-04-24,shortage,Προβλήματα στην παραγωγική διαδικασία,,2026-03-12T16:42:03.347998
GR,Greece,EOF,LASIX INJ.SOL 20MG/2ML AMP BTx5 AMPx2 ML,FUROSEMIDE,,,2800362805019,C03CA01,ΦΑΡΜΑΚΕΙΟΥ,SANOFI-AVENTIS,2026-04-01,2026-04-30,shortage,Καθυστέρηση έγκρισης τροποποίησης Ε.Ο.Φ.,"Εναλλακτικά άλλα σκευάσματα της ίδιας δραστικής, μορφής και περιεκτικότητας",2026-03-12T16:42:03.347998
GR,Greece,EOF,TOLVAPTAN/TEVA TABLET 15MG/TAB BT X 56: 4 BLISTERS PVC/ACLAR/PVC FORMING FOIL AND LIDDING ALU FOIL ΜΕ 7 Χ 15 MG ΚΑΙ 7 Χ 45 MG ΔΙΣΚΙΑ,TOLVAPTAN,,,2803311203119,C03XA01,ΦΑΡΜΑΚΕΙΟΥ,"TEVA B.V., THE NETHERLANDS",2025-12-22,2026-03-16,shortage,Καθυστέρηση παράδοσης,Εναλλακτικά μέσω έκτακτης εισαγωγής,2026-03-12T16:42:03.347998
GR,Greece,EOF,TOLVAPTAN/TEVA TABLET 60MG/TAB BT X 56: 4 BLISTERS PVC/ACLAR/PVC FORMING FOIL AND LIDDING ALU FOIL ΜΕ 7 Χ 30 MG ΚΑΙ 7 Χ 60 MG ΔΙΣΚΙΑ,TOLVAPTAN,,,2803311204116,C03XA01,ΦΑΡΜΑΚΕΙΟΥ,"TEVA B.V., THE NETHERLANDS",2026-02-18,2026-04-15,shortage,Καθυστέρηση παράδοσης,,2026-03-12T16:42:03.347998
GR,Greece,EOF,TOLVAPTAN/TEVA TABLET 30MG/TAB BT X 56: 4 BLISTERS PVC/ACLAR/PVC FORMING FOIL AND LIDDING ALU FOIL ΜΕ 7 Χ 30 MG ΚΑΙ 7 Χ 90 MG ΔΙΣΚΙΑ,TOLVAPTAN,,,2803311205113,C03XA01,ΦΑΡΜΑΚΕΙΟΥ,"TEVA B.V., THE NETHERLANDS",2025-10-30,2026-05-12,shortage,Καθυστέρηση παράδοσης,Εναλλακτικά μέσω έκτακτης εισαγωγής,2026-03-12T16:42:03.347998
